Hicks-Henne_Deformed_Airfoil
1.000000  -0.000000
0.999748  -0.000000
0.998993  -0.000000
0.997736  -0.000000
0.995977  -0.000000
0.993719  -0.000002
0.990964  -0.000005
0.987715  -0.000012
0.983974  -0.000026
0.979746  -0.000053
0.975036  -0.000100
0.969846  -0.000176
0.964184  -0.000293
0.958054  -0.000468
0.951463  -0.000716
0.944418  -0.001056
0.936925  -0.001508
0.928992  -0.002089
0.920627  -0.002813
0.911838  -0.003688
0.902635  -0.004718
0.893027  -0.005899
0.883022  -0.007219
0.872632  -0.008662
0.861867  -0.010206
0.850737  -0.011824
0.839255  -0.013492
0.827430  -0.015183
0.815276  -0.016873
0.802805  -0.018543
0.790028  -0.020177
0.776960  -0.021763
0.763613  -0.023292
0.750000  -0.024761
0.736136  -0.026166
0.722033  -0.027508
0.707708  -0.028786
0.693173  -0.030000
0.678443  -0.031148
0.663534  -0.032229
0.648460  -0.033240
0.633237  -0.034175
0.617879  -0.035031
0.602403  -0.035801
0.586824  -0.036480
0.571157  -0.037062
0.555419  -0.037542
0.539625  -0.037914
0.523791  -0.038176
0.507933  -0.038323
0.492067  -0.038355
0.476209  -0.038268
0.460375  -0.038063
0.444581  -0.037741
0.428843  -0.037302
0.413176  -0.036748
0.397597  -0.036082
0.382121  -0.035307
0.366763  -0.034426
0.351540  -0.033443
0.336466  -0.032363
0.321557  -0.031191
0.306827  -0.029932
0.292292  -0.028592
0.277967  -0.027179
0.263864  -0.025698
0.250000  -0.024157
0.236387  -0.022566
0.223040  -0.020931
0.209972  -0.019264
0.197195  -0.017573
0.184724  -0.015870
0.172570  -0.014165
0.160745  -0.012470
0.149263  -0.010797
0.138133  -0.009159
0.127368  -0.007569
0.116978  -0.006038
0.106973  -0.004580
0.097365  -0.003208
0.088162  -0.001933
0.079373  -0.000768
0.071008  0.000278
0.063075  0.001193
0.055582  0.001971
0.048537  0.002605
0.041946  0.003089
0.035816  0.003423
0.030154  0.003607
0.024964  0.003644
0.020254  0.003542
0.016026  0.003313
0.012285  0.002973
0.009036  0.002541
0.006281  0.002045
0.004023  0.001515
0.002264  0.000991
0.001007  0.000520
0.000252  0.000161
0.000000  0.000000
0.000252  0.001109
0.001007  0.003498
0.002264  0.005709
0.004023  0.008107
0.006281  0.010418
0.009036  0.013095
0.012285  0.015913
0.016026  0.018887
0.020254  0.022248
0.024964  0.025269
0.030154  0.028624
0.035816  0.031495
0.041946  0.034476
0.048537  0.037311
0.055582  0.040035
0.063075  0.042698
0.071008  0.045282
0.079373  0.048076
0.088162  0.050628
0.097365  0.053330
0.106973  0.055887
0.116978  0.058480
0.127368  0.060935
0.138133  0.063404
0.149263  0.065690
0.160745  0.067999
0.172570  0.070061
0.184724  0.072055
0.197195  0.073876
0.209972  0.075443
0.223040  0.076881
0.236387  0.078076
0.250000  0.079073
0.263864  0.079935
0.277967  0.080628
0.292292  0.081168
0.306827  0.081615
0.321557  0.081968
0.336466  0.082185
0.351540  0.082271
0.366763  0.082233
0.382121  0.082062
0.397597  0.081721
0.413176  0.081208
0.428843  0.080555
0.444581  0.079769
0.460375  0.078858
0.476209  0.077791
0.492067  0.076616
0.507933  0.075341
0.523791  0.073966
0.539625  0.072488
0.555419  0.070873
0.571157  0.069151
0.586824  0.067319
0.602403  0.065374
0.617879  0.063299
0.633237  0.061099
0.648460  0.058802
0.663534  0.056423
0.678443  0.053969
0.693173  0.051457
0.707708  0.048940
0.722033  0.046458
0.736136  0.044029
0.750000  0.041710
0.763613  0.039563
0.776960  0.037616
0.790028  0.035908
0.802805  0.034488
0.815276  0.033342
0.827430  0.032471
0.839255  0.031852
0.850737  0.031385
0.861867  0.031028
0.872632  0.030636
0.883022  0.030129
0.893027  0.029378
0.902635  0.028321
0.911838  0.026891
0.920627  0.025113
0.928992  0.022991
0.936925  0.020649
0.944418  0.018168
0.951463  0.015672
0.958054  0.013283
0.964184  0.011067
0.969846  0.009086
0.975036  0.007359
0.979746  0.005892
0.983974  0.004659
0.987715  0.003636
0.990964  0.002793
0.993719  0.002106
0.995977  0.001557
0.997736  0.001137
0.998993  0.000838
0.999748  0.000659
1.000000  -0.000599
