Hicks-Henne_Deformed_Airfoil
1.000000  -0.000000
0.999748  -0.000000
0.998993  -0.000000
0.997736  -0.000001
0.995977  -0.000004
0.993719  -0.000013
0.990964  -0.000038
0.987715  -0.000091
0.983974  -0.000192
0.979746  -0.000363
0.975036  -0.000628
0.969846  -0.001009
0.964184  -0.001515
0.958054  -0.002142
0.951463  -0.002868
0.944418  -0.003650
0.936925  -0.004432
0.928992  -0.005150
0.920627  -0.005746
0.911838  -0.006175
0.902635  -0.006414
0.893027  -0.006470
0.883022  -0.006372
0.872632  -0.006171
0.861867  -0.005929
0.850737  -0.005708
0.839255  -0.005567
0.827430  -0.005548
0.815276  -0.005680
0.802805  -0.005971
0.790028  -0.006417
0.776960  -0.006999
0.763613  -0.007689
0.750000  -0.008456
0.736136  -0.009264
0.722033  -0.010082
0.707708  -0.010882
0.693173  -0.011638
0.678443  -0.012335
0.663534  -0.012959
0.648460  -0.013504
0.633237  -0.013970
0.617879  -0.014357
0.602403  -0.014672
0.586824  -0.014921
0.571157  -0.015111
0.555419  -0.015249
0.539625  -0.015341
0.523791  -0.015392
0.507933  -0.015408
0.492067  -0.015390
0.476209  -0.015341
0.460375  -0.015260
0.444581  -0.015150
0.428843  -0.015011
0.413176  -0.014842
0.397597  -0.014646
0.382121  -0.014424
0.366763  -0.014178
0.351540  -0.013912
0.336466  -0.013630
0.321557  -0.013335
0.306827  -0.013033
0.292292  -0.012728
0.277967  -0.012424
0.263864  -0.012126
0.250000  -0.011838
0.236387  -0.011561
0.223040  -0.011297
0.209972  -0.011047
0.197195  -0.010810
0.184724  -0.010583
0.172570  -0.010364
0.160745  -0.010149
0.149263  -0.009934
0.138133  -0.009712
0.127368  -0.009478
0.116978  -0.009227
0.106973  -0.008953
0.097365  -0.008652
0.088162  -0.008319
0.079373  -0.007953
0.071008  -0.007550
0.063075  -0.007110
0.055582  -0.006635
0.048537  -0.006128
0.041946  -0.005592
0.035816  -0.005034
0.030154  -0.004460
0.024964  -0.003880
0.020254  -0.003301
0.016026  -0.002735
0.012285  -0.002193
0.009036  -0.001686
0.006281  -0.001225
0.004023  -0.000822
0.002264  -0.000487
0.001007  -0.000231
0.000252  -0.000064
0.000000  0.000000
0.000252  0.001067
0.001007  0.003357
0.002264  0.005429
0.004023  0.007657
0.006281  0.009776
0.009036  0.012242
0.012285  0.014837
0.016026  0.017576
0.020254  0.020693
0.024964  0.023462
0.030154  0.026559
0.035816  0.029164
0.041946  0.031871
0.048537  0.034427
0.055582  0.036864
0.063075  0.039233
0.071008  0.041518
0.079373  0.044007
0.088162  0.046251
0.097365  0.048645
0.106973  0.050894
0.116978  0.053184
0.127368  0.055343
0.138133  0.057530
0.149263  0.059549
0.160745  0.061614
0.172570  0.063456
0.184724  0.065263
0.197195  0.066931
0.209972  0.068385
0.223040  0.069754
0.236387  0.070927
0.250000  0.071952
0.263864  0.072891
0.277967  0.073712
0.292292  0.074431
0.306827  0.075104
0.321557  0.075728
0.336466  0.076257
0.351540  0.076691
0.366763  0.077029
0.382121  0.077258
0.397597  0.077332
0.413176  0.077241
0.428843  0.077011
0.444581  0.076642
0.460375  0.076135
0.476209  0.075456
0.492067  0.074649
0.507933  0.073720
0.523791  0.072671
0.539625  0.071500
0.555419  0.070177
0.571157  0.068738
0.586824  0.067188
0.602403  0.065531
0.617879  0.063757
0.633237  0.061877
0.648460  0.059924
0.663534  0.057912
0.678443  0.055846
0.693173  0.053731
0.707708  0.051609
0.722033  0.049494
0.736136  0.047381
0.750000  0.045296
0.763613  0.043267
0.776960  0.041289
0.790028  0.039372
0.802805  0.037544
0.815276  0.035784
0.827430  0.034100
0.839255  0.032497
0.850737  0.030924
0.861867  0.029405
0.872632  0.027879
0.883022  0.026352
0.893027  0.024779
0.902635  0.023164
0.911838  0.021477
0.920627  0.019752
0.928992  0.017963
0.936925  0.016174
0.944418  0.014388
0.951463  0.012644
0.958054  0.010987
0.964184  0.009425
0.969846  0.007983
0.975036  0.006667
0.979746  0.005490
0.983974  0.004446
0.987715  0.003534
0.990964  0.002751
0.993719  0.002091
0.995977  0.001554
0.997736  0.001136
0.998993  0.000838
0.999748  0.000659
1.000000  -0.000599
